iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
CZE,Czechia,2014,0.77016509724927,25.9,180173337874.854,10525347,7.94,25.9,-0.24824971855589195,25.917185212654584,-10.17347842124677,1.3768203198494833,-14.007051813922795
CZE,Czechia,2014,0.00950821107715148,25.9,180173337874.854,10525347,7.94,25.9,-3.936919821162547,25.917185212654584,-10.17347842124677,1.3768203198494833,-14.007051813922795
CZE,Czechia,2015,0.836150868791633,25.9,189107698561.919,10546059,7.94,25.9,-0.16705760337015416,25.96558252337345,-10.17347842124677,1.3768203198494833,-14.007051813922795
CZE,Czechia,2015,0,25.9,189107698561.919,10546059,7.94,25.9,-4.605170185988091,25.96558252337345,-10.17347842124677,1.3768203198494833,-14.007051813922795
CZE,Czechia,2016,0.617169777139044,25.4,193988322685.058,10566332,7.82,25.4,-0.46653799806640023,25.991063801853045,-10.67347842124677,1.2568203198494832,-13.414644563297923
CZE,Czechia,2016,0.939997045181005,25.4,193988322685.058,10566332,7.82,25.4,-0.05129640472817182,25.991063801853045,-10.67347842124677,1.2568203198494832,-13.414644563297923
CZE,Czechia,2016,0,25.4,193988322685.058,10566332,7.82,25.4,-4.605170185988091,25.991063801853045,-10.67347842124677,1.2568203198494832,-13.414644563297923
CZE,Czechia,2017,0.626106269301682,24.9,204024435232.921,10594438,7.62,24.9,-0.4523896395030261,26.041505604171043,-11.17347842124677,1.056820319849483,-11.808359038973308
CZE,Czechia,2017,0.777889607314211,24.9,204024435232.921,10594438,7.62,24.9,-0.23839729117894148,26.041505604171043,-11.17347842124677,1.056820319849483,-11.808359038973308
CZE,Czechia,2017,0,24.9,204024435232.921,10594438,7.62,24.9,-4.605170185988091,26.041505604171043,-11.17347842124677,1.056820319849483,-11.808359038973308
CZE,Czechia,2018,0.976401698104748,25,209798950825.42,10629928,7.69,25,-0.01369160561609991,26.069415532063978,-11.073478421246769,1.1268203198494833,-12.477820496475635
CZE,Czechia,2018,0,25,209798950825.42,10629928,7.69,25,-4.605170185988091,26.069415532063978,-11.073478421246769,1.1268203198494833,-12.477820496475635
CZE,Czechia,2019,0.862160849844266,25.3,217279912681.73,10671870,7.69,25.3,-0.1367814112533843,26.104452279446864,-10.773478421246768,1.1268203198494833,-12.139774400520789
CZE,Czechia,2019,0.720046424045761,25.3,217279912681.73,10671870,7.69,25.3,-0.31464715227851575,26.104452279446864,-10.773478421246768,1.1268203198494833,-12.139774400520789
CZE,Czechia,2019,0,25.3,217279912681.73,10671870,7.69,25.3,-4.605170185988091,26.104452279446864,-10.773478421246768,1.1268203198494833,-12.139774400520789
CZE,Czechia,2020,0.729848861096918,26.2,205753475017.539,10697858,7.67,26.2,-0.301309355405032,26.049944565875126,-9.87347842124677,1.1068203198494828,-10.928166544231315
CZE,Czechia,2020,1.00472700358797,26.2,205753475017.539,10697858,7.67,26.2,0.014619614334694277,26.049944565875126,-9.87347842124677,1.1068203198494828,-10.928166544231315
CZE,Czechia,2020,0,26.2,205753475017.539,10697858,7.67,26.2,-4.605170185988091,26.049944565875126,-9.87347842124677,1.1068203198494828,-10.928166544231315
CZE,Czechia,2021,0.44631485186264,26.2,214043320221.167,10505772,7.74,26.2,-0.7845722431177202,26.089444262421917,-9.87347842124677,1.176820319849483,-11.619310033718593
CZE,Czechia,2021,0.987590310504566,26.2,214043320221.167,10505772,7.74,26.2,-0.002412597469648734,26.089444262421917,-9.87347842124677,1.176820319849483,-11.619310033718593
CZE,Czechia,2021,0,26.2,214043320221.167,10505772,7.74,26.2,-4.605170185988091,26.089444262421917,-9.87347842124677,1.176820319849483,-11.619310033718593
CZE,Czechia,2022,0.81512474266184,25.9,220137498830.73,10672118,7.97,25.9,-0.19222070085103904,26.117518182756072,-10.17347842124677,1.4068203198494826,-14.312256166560191
CZE,Czechia,2022,0.824493992577493,25.9,220137498830.73,10672118,7.97,25.9,-0.18092973473480725,26.117518182756072,-10.17347842124677,1.4068203198494826,-14.312256166560191
CZE,Czechia,2022,0,25.9,220137498830.73,10672118,7.97,25.9,-4.605170185988091,26.117518182756072,-10.17347842124677,1.4068203198494826,-14.312256166560191
CZE,Czechia,2023,0.767827757917044,25.7,220242240981.103,10864042,7.97,25.7,-0.2512501701664463,26.117993872906542,-10.37347842124677,1.4068203198494826,-14.593620230530087
CZE,Czechia,2023,0.860337126340785,25.7,220242240981.103,10864042,7.97,25.7,-0.13887464085170792,26.117993872906542,-10.37347842124677,1.4068203198494826,-14.593620230530087
DEU,Germany,2006,1.20927315205162,31,3085761005285.65,82376451,8.82,31,0.19825490419265349,28.757819422050567,-5.073478421246769,2.256820319849483,-11.449929193387584
DEU,Germany,2006,0.249687978763695,31,3085761005285.65,82376451,8.82,31,-1.3482744503193593,28.757819422050567,-5.073478421246769,2.256820319849483,-11.449929193387584
